Dia->Cil;Dia->Nsci;Dia->Tun;Dia->Clado;Dia->Cop;Dia->Biv;Dia->Gastr;Dia->Poly;Dia->Mlei;Dia->Her;Dia->Doc;Dia->Poc;Dia->Exp;Dia->Resp;Phae->Cil;Phae->Nsci;Phae->Tun;Phae->Clado;Phae->Cop;Phae->Biv;Phae->Gastr;Phae->Poly;Phae->Doc;Phae->Poc;Phae->Exp;Phae->Resp;Cil->Nsci;Cil->Tun;Cil->Clado;Cil->Cop;Cil->Biv;Cil->Gastr;Cil->Poly;Cil->Hydro;Cil->Ppil;Cil->Mlei;Cil->Bcu;Cil->Poc;Cil->Exp;Cil->Resp;Nsci->Ppil;Nsci->Mlei;Nsci->Bcu;Nsci->Poc;Nsci->Exp;Nsci->Resp;Tun->Hydro;Tun->Ppil;Tun->Mlei;Tun->Bcu;Tun->Her;Tun->Poc;Tun->Exp;Tun->Resp;Clado->Hydro;Clado->Ppil;Clado->Mlei;Clado->Bcu;Clado->Her;Clado->Poc;Clado->Exp;Clado->Resp;Cop->Hydro;Cop->Ppil;Cop->Mlei;Cop->Bcu;Cop->Her;Cop->Poc;Cop->Exp;Cop->Resp;Biv->Nsci;Biv->Poly;Biv->Hydro;Biv->Ppil;Biv->Mlei;Biv->Bcu;Biv->Her;Biv->Poc;Biv->Exp;Biv->Resp;Gastr->Hydro;Gastr->Ppil;Gastr->Mlei;Gastr->Bcu;Gastr->Her;Gastr->Poc;Gastr->Exp;Gastr->Resp;Poly->Ppil;Poly->Mlei;Poly->Bcu;Poly->Her;Poly->Poc;Poly->Exp;Poly->Resp;Hydro->Ppil;Hydro->Mlei;Hydro->Poc;Hydro->Exp;Hydro->Resp;Ppil->Bcu;Ppil->Poc;Ppil->Exp;Ppil->Resp;Mlei->Bcu;Mlei->Poc;Mlei->Exp;Mlei->Resp;Bcu->Poc;Bcu->Exp;Bcu->Resp;Her->Poc;Her->Exp;Her->Resp;Bac->Cil;Bac->Tun;Bac->Biv;Bac->Poc;Bac->Exp;Bac->Resp;Doc->Bac;Poc->Cil;Poc->Nsci;Poc->Tun;Poc->Clado;Poc->Cop;Poc->Biv;Poc->Gastr;Poc->Poly;Poc->Exp;Imp->Dia;Imp->Phae;Imp->Cil;Imp->Nsci;Imp->Tun;Imp->Clado;Imp->Cop;Imp->Biv;Imp->Gastr;Imp->Poly;Imp->Hydro;Imp->Ppil;Imp->Mlei;Imp->Bcu;Imp->Her;Imp->Doc;Imp->Poc;Doc->Exp
0,040642255;0,882391411;0,152832383;1,28881E-07;0,219153369;0,002929815;0,000364862;0,010155418;0,000453227;3,09767E-05;8,786085513;2,666308543;38,87529635;5,996147492;0,076943028;13,33091164;0,006833666;8,61626E-06;0,00200068;0,00551435;1,67703E-05;1,154878823;4,560441694;1,437069499;6,03057296;2,868974203;0,265168361;0,005910274;6,13135E-08;0,002158993;6,74431E-05;1,53839E-05;0,00713399;0,000155187;3,09618E-05;0,001887217;1,36966E-05;0,162123196;0,039641717;0,612072503;3,09618E-05;8,27119E-05;2,90594E-05;1,090446969;3,647897459;26,04491312;0,001023527;0,003982376;0,000123039;5,16903E-05;1,82216E-06;0,034116193;0,094978604;0,057297587;2,81452E-08;2,81452E-08;6,88864E-06;2,81452E-08;1,82216E-06;2,81452E-08;2,81452E-08;5,62904E-08;0,00016551;3,09618E-05;0,002917697;2,45333E-05;0,001075073;0,028417796;0,167909893;0,069963817;0,003420996;0,000645637;8,61482E-05;1,54809E-05;0,001067335;1,22666E-05;1,82216E-06;0,001307761;0,001023237;0,002237688;5,7262E-05;8,15216E-05;0,000118209;1,52836E-05;1,82216E-06;5,35399E-05;1,07574E-05;0,000104749;1,54809E-05;0,000185666;2,58452E-05;0,000681024;0,123776238;0,826427288;0,251106872;0,000255244;7,0877E-06;0,000206695;0,000568877;0,000532514;0,00212394;0,000455138;0,000117694;0,001761726;1,67928E-05;0,000699413;0,004762335;0,001385971;0,000242354;0,001167608;0,000915441;0,000133039;0,000917918;0,0007712;0,731119086;0,009652783;8,98192E-06;0,119062251;0,208440098;6,777016193;7,845299392;0,04099764;15,17033543;0,010897156;6,75676E-08;0,002523304;0,000328738;3,07516E-05;0,011847988;538,7293129;57,63279175;29,47416593;0,206676976;1,131172444;0,005448578;3,37838E-08;0,044668935;0,000969044;1,53758E-05;0,017556558;8,27551E-05;1,54809E-05;1,54348E-05;1,22666E-05;2,77948E-05;1,087640493;548,3018553;6,588868308
0,060514392;0,856574969;0,151242366;4,88763E-06;0,255091366;0,026125166;0,001514097;0,012129009;0,000346009;4,35466E-05;8,788281043;2,665135918;38,85477629;5,972694319;0,034861926;13,28954127;0,049529797;5,21374E-07;0,044990481;0,012796971;0,000429327;1,116040383;4,508534151;1,408691383;5,994862904;3,037245167;0,254487648;0,003293422;9,38809E-07;0,03258972;0,001160934;0,000367961;0,006527324;0,002977691;0,000481491;0,000136895;0,000176229;0,152237539;0,028946736;0,643119485;0,000327227;6,44925E-05;0,000325541;1,090177465;3,629610961;26,0112938;0,003162435;0,000708867;8,74196E-05;0,000318138;2,56156E-06;0,024893838;0,126087956;0,080076097;3,80165E-08;1,67688E-07;5,45105E-06;3,74294E-07;2,56156E-06;8,4725E-07;1,57772E-07;2,5343E-07;0,012550683;0,001383686;0,002181992;0,00016143;0,001511323;0,115969684;0,256816348;0,069468457;0,010874449;0,010001246;0,000133251;0,00027788;0,000797216;0,00073354;2,56156E-06;0,016507847;0,026579498;0,01861468;0,00057283;0,000289826;8,91451E-05;0,000190044;2,56156E-06;0,000348528;0,000620929;0,001015658;0,000364032;0,000508174;0,000492429;0,000798324;0,131094113;0,816050334;0,254034992;0,000105253;5,32128E-06;0,003324235;0,012999776;0,004648665;0,000169271;0,001023431;0,002383841;0,000902456;0,000543615;0,000747911;0,002499403;0,001322671;0,000350844;0,001808561;0,001196282;0,000177661;0,001617228;0,000766675;0,745796569;0,005913066;0,001436005;0,12765249;0,195258392;6,764054034;7,840110556;0,050986206;15,17085821;0,024239514;3,46613E-06;0,061952463;0,015922074;0,000264256;0,032196957;538,7115995;57,64447338;29,49752428;0,234344921;1,149462948;0,001119145;3,71238E-08;0,065419571;0,027081021;0,000553883;0,026447478;0,001686322;0,000540569;0,000891485;0,000245077;0,000198124;1,114446442;548,3296889;6,571151079
0,040458515;0,931901679;0,124435687;8,72973E-07;0,268507309;0,021306486;0,001429945;0,008349915;0,000393384;4,82836E-05;8,78525945;2,690953996;38,83206735;5,939177118;0,029465116;13,2793075;0,130044414;1,43794E-07;0,004523785;0,027006538;0,000236978;1,111523784;4,512442115;1,397231909;6,019348429;3,012776343;0,24735331;0,008988619;2,37103E-06;0,014152783;0,001791588;0,001027724;0,010090593;0,002789826;0,000356295;0,000439546;0,000389389;0,157517655;0,027196012;0,615846013;0,001031137;7,08625E-05;0,000101985;1,103124902;3,638928223;26,02104858;0,000826523;0,000376031;0,000104045;0,000207907;2,84021E-06;0,049042015;0,151183682;0,103189024;3,69478E-08;2,38076E-07;6,48558E-06;4,93504E-08;2,84021E-06;1,32588E-08;5,33286E-08;2,22172E-08;0,000266668;0,000530919;0,002509803;3,04164E-05;0,001675727;0,080176594;0,217501691;0,064995591;0,007400425;0,016342434;0,003756695;0,000130641;0,000918979;0,000152163;2,84021E-06;0,020496579;0,032370932;0,022663205;0,00037566;0,001176217;0,00010134;0,000180906;2,84021E-06;0,000535697;0,000378387;0,001065348;0,000178613;0,0010972;0,00038564;0,000917221;0,133985828;0,815503133;0,253409614;0,000282438;1,55856E-05;0,003700114;0,007863118;0,003330011;0,000761892;0,001096747;0,001473644;0,001089827;0,000619687;0,001049522;0,00256422;0,001669219;0,000507827;0,002290205;0,000827538;0,00022805;0,001803638;0,000808526;0,742016543;0,012459818;0,001686723;0,129383172;0,193373732;6,763292702;7,842212689;0,044678545;15,158173;0,003360647;5,21541E-06;0,036864647;0,018984645;0,000971634;0,029439161;538,7082947;57,64428999;29,52390705;0,231323004;1,140169777;0,025642881;1,13576E-06;0,043638887;0,033458914;0,000150111;0,029731363;0,007175858;0,000359581;0,000245417;0,000795536;0,000187623;1,112385886;548,2317416;6,567874762
0,077105375;0,903433029;0,151334861;2,99403E-07;0,292716038;0,032433026;0,000244386;0,01536259;0,000274305;4,96046E-05;8,782291171;2,668198775;38,81281218;5,899424441;0,033559092;13,28803717;0,082037429;1,32545E-06;0,024526907;0,032510661;0,000162585;1,086451748;4,54028688;1,359284039;6,027418641;3,03287989;0,250291763;0,017809433;2,4272E-07;0,029195248;0,001475489;0,002371218;0,018059257;0,000869426;0,000471701;0,000750006;0,000702467;0,156634563;0,035130474;0,601068815;0,000324186;5,05529E-05;5,3404E-05;1,087583138;3,645610809;26,0254969;0,001692819;0,000200058;7,81901E-05;0,000673041;2,91792E-06;0,036560014;0,156922403;0,10910995;1,55801E-06;4,86635E-07;4,23309E-06;8,30941E-08;2,91792E-06;1,59407E-07;5,68527E-08;1,47247E-07;0,005682441;0,001566321;0,001737756;2,64801E-05;0,001721571;0,071187513;0,300534747;0,067030796;0,010152169;0,019212125;0,007331489;5,58217E-05;0,000635847;0,000235428;2,91792E-06;0,016857288;0,041832239;0,025265694;0,001343088;9,59317E-05;7,00285E-05;0,000465552;2,91792E-06;0,000719572;9,76763E-05;0,001036758;0,000594193;0,000455843;0,0005658;4,53783E-06;0,122038647;0,82170596;0,259693553;4,82768E-05;5,77052E-06;0,002237756;0,009766266;0,007365932;0,000392907;0,0005382;0,001473292;0,000987624;0,000178526;0,000622382;0,002113852;0,001171062;0,000646781;0,001830336;0,000842635;0,000532289;0,001639175;0,000746454;0,735114812;0,014390925;0,001871437;0,116286652;0,202582681;6,770948772;7,841195279;0,05228738;15,17370731;0,019763897;4,06626E-06;0,059216945;0,023932046;0,000323944;0,045000377;538,7304539;57,63568007;29,50715637;0,216763445;1,133497551;0,01990285;3,70842E-06;0,043832489;0,029358358;0,000729392;0,020972437;0,002503182;3,50464E-05;2,32898E-05;2,60643E-05;0,001130532;1,094030448;548,4647621;6,57541322
0,071901942;0,935890927;0,144000044;1,7568E-06;0,311040972;0,015309461;0,000413352;0,013260127;0,000281126;3,18563E-05;8,78425248;2,675935865;38,77325738;5,917456977;0,010680616;13,27365786;0,094756252;2,57009E-06;0,021636198;0,028408177;0,001073194;1,098535153;4,507075897;1,384116945;6,018039992;3,088384495;0,250458479;0,016622149;1,30058E-06;0,028307812;0,000829479;0,000316984;0,017635944;0,002791668;2,82636E-05;5,85752E-05;0,000299534;0,163764456;0,046740824;0,555035656;4,45787E-06;5,61799E-05;0,001102766;1,09694991;3,642240075;26,02141064;0,003538714;0,000562726;7,21249E-05;4,18928E-05;1,8739E-06;0,03951617;0,15327135;0,104991129;3,19239E-07;1,01212E-06;4,95407E-06;2,35869E-07;1,8739E-06;2,64183E-07;2,40456E-07;2,78104E-07;0,004382446;0,000915908;0,001799272;0,000402433;0,001105599;0,065548044;0,315431427;0,06935656;0,000610304;0,010568888;0,004820148;0,000194054;0,000659194;0,000311902;1,8739E-06;0,016557007;0,028783321;0,01644907;0,001474587;0,00051138;8,28019E-05;0,000267792;1,8739E-06;0,000566433;0,000513049;0,000909806;0,000284016;0,000782927;6,90361E-06;0,000178784;0,130356653;0,817309709;0,255337998;0,000747547;4,37272E-06;0,002871008;0,009445252;0,007284264;0,000839105;0,000449973;0,001509274;0,00155555;3,13067E-05;0,000667062;0,002567663;0,000964377;0,000502454;0,001910406;0,001072927;0,000139158;0,000946173;0,000788566;0,734409879;0,012491504;0,001530015;0,123889922;0,195658312;6,765412789;7,83339242;0,044298196;15,16426539;0,010572223;1,20671E-07;0,05025104;0,007305758;0,002206165;0,036566665;538,7176182;57,64303427;29,52636735;0,22160049;1,136881064;0,02355381;3,4298E-06;0,047705668;0,025572873;0,000318026;0,027690213;0,003344562;0,001104538;0,000428881;0,000181917;0,000550162;1,102769989;548,3312524;6,560705946
0,079562946;0,908517833;0,163656041;1,13404E-06;0,260605839;0,035819729;0,001402218;0,017036458;0,000366769;4,61431E-05;8,805395;2,601198048;38,79641663;5,942687123;0,020169997;13,27649615;0,031364581;3,77036E-06;0,006138923;0,04395568;3,16404E-05;1,111674825;4,51950235;1,330374072;6,066230644;3,082721695;0,244642821;0,024768361;3,30325E-06;0,043243055;0,001351901;0,000435969;0,015992804;0,000220857;0,000238892;0,001280994;0,000810834;0,091276185;0,098357556;0,606788165;0,001591885;6,61128E-05;0,000164402;1,034445606;3,676918998;26,05145119;0,004143622;3,78868E-05;9,37069E-05;0,000254861;2,7143E-06;0,047805087;0,19401719;0,07389032;1,55804E-07;9,43273E-07;5,46871E-06;1,01739E-07;2,7143E-06;1,34611E-07;2,2686E-07;6,10093E-08;0,002380487;4,80169E-05;0,002300687;0,000592705;0,001601439;0,141463003;0,21507368;0,069240171;0,005964603;0,000910803;2,31267E-05;0,000329989;0,000840886;0,000236231;2,7143E-06;0,023537479;0,045822118;0,020624784;0,002042236;0,000185932;9,29477E-05;0,00016711;2,7143E-06;0,00049587;0,000111022;0,001250486;0,00052092;6,27423E-05;0,000285733;0,000681996;0,137496829;0,837660096;0,275760899;0,001249156;1,05653E-05;0,001169483;0,005738561;0,002368363;0,000765243;0,000586862;0,001834977;0,001284576;0,000105503;0,000983949;0,003077052;0,001243816;0,000437077;0,002224374;0,000955888;0,000245878;0,001437896;0,001030529;0,720618665;0,00685232;0,000135971;0,115413356;0,207057056;6,785546382;7,835623749;0,114485139;15,22680156;0,088927792;2,40841E-07;0,086970267;0,007505832;0,000381535;0,105141879;538,8148588;57,61271191;29,48866433;0,194574952;1,102215222;0,004676294;1,35782E-06;0,035742105;0,009523622;0,002096956;0,001712446;0,001725642;0,000268038;0,000289441;0,000234614;0,000373868;1,097862992;548,9181441;6,587136593
0,084970008;0,901215909;0,160101211;1,83574E-06;0,233676395;0,038313067;0,000186381;0,021346365;0,00022096;5,71319E-05;8,809815934;2,611628913;38,79751813;5,953101093;0,044935239;13,27832416;0,034524352;2,92571E-08;0,001428959;0,040816724;0,000462931;1,104801143;4,532625725;1,321428297;6,048991458;3,079812537;0,243563007;0,022553989;1,26493E-06;0,029991266;0,000697329;0,002142776;0,015629178;0,003704579;0,000132913;0,000270045;0,000366714;0,096053816;0,089881699;0,660356202;0,000603881;4,09261E-05;0,000273453;1,037565431;3,672633437;26,04761955;0,003701135;0,000300559;5,93005E-05;0,000153678;3,3607E-06;0,051209476;0,190719121;0,070537413;1,98018E-08;4,93699E-07;4,18689E-06;5,75011E-07;3,3607E-06;6,18497E-08;2,44091E-07;1,00305E-06;0,000738727;0,00061689;0,001411397;0,000468908;0,001982815;0,113826298;0,181254515;0,064716122;0,005642264;0,001463043;0,002043301;0,000558145;0,000516969;0,000429828;3,3607E-06;0,026349812;0,041222769;0,020373457;0,000924399;8,78302E-05;6,38574E-05;0,000731822;3,3607E-06;0,000510058;0,000374571;0,001295852;0,00054347;0,000380329;0,000603881;0,001136204;0,140425105;0,832529524;0,270772507;0,000479438;3,39877E-06;0,002602951;0,008973973;0,005992256;6,10705E-05;0,000662376;0,002058451;0,00092015;0,000251885;0,000841533;0,001504363;0,000719602;0,000774417;0,002007361;0,000807291;0,000555539;0,001801187;0,001003976;0,722958358;0,006968133;0,001699556;0,121067601;0,204643022;6,782378628;7,839715297;0,112393481;15,22349148;0,084560676;5,38197E-08;0,071758316;0,003718026;0,00059526;0,102668208;538,807228;57,61215333;29,48815155;0,200087691;1,106499864;0,007975682;6,76135E-06;0,028160733;0,013358249;0,000604402;0,000483083;0,006939856;0,000378428;0,000346015;0,000247254;0,00017111;1,087393898;548,8809119;6,59012026
0,078303364;0,883730226;0,188936952;5,35603E-07;0,219226169;0,040103714;0,001566043;0,021383548;0,000274955;5,42973E-05;8,820727078;2,612624391;38,82230435;5,91110388;0,050957701;13,28945282;0,005080146;1,85326E-07;0,003832201;0,054427196;0,00097509;1,116652229;4,539598029;1,329035271;6,069686744;3,012682535;0,248957132;0,024431092;1,21222E-06;0,034867545;0,001960707;0,000996095;0,009992828;0,0070825;0,000139209;0,000209282;0,000798185;0,082820851;0,102037437;0,64319917;5,51231E-05;5,37753E-05;0,000660783;1,026402022;3,680587267;26,05466764;0,001966875;0,000442744;7,36876E-05;0,000371658;3,19396E-06;0,035805883;0,199851517;0,079729275;1,07491E-07;1,84213E-07;4,19811E-06;1,22153E-06;3,19396E-06;1,0197E-06;5,60067E-08;1,09034E-08;0,011601156;0,001698881;0,001763704;0,000616499;0,001884437;0,097853887;0,156689627;0,063790638;0,007353436;0,012726944;0,000508002;2,69129E-07;0,000641307;0,000193389;3,19396E-06;0,017574163;0,050972983;0,025177982;0,001708865;0,000388328;7,15613E-05;0,000243016;3,19396E-06;0,000616325;3,97664E-05;0,001017851;0,000486546;0,000316064;0,000196003;0,000273526;0,138835599;0,849175284;0,287084967;0,000187915;7,23E-06;0,004249297;0,012126956;0,007058981;0,000141521;0,000860289;0,00194895;0,000897299;8,38778E-05;0,000485583;0,002468862;0,001096706;0,00078936;0,001776337;0,000806667;0,000253332;0,001963716;0,000976914;0,718883542;0,004789205;0,002183001;0,109103658;0,211587166;6,789323865;7,835870437;0,120273668;15,23439663;0,094305041;3,42266E-06;0,055672857;0,01286072;1,80476E-05;0,104909712;538,826112;57,6003395;29,47238015;0,189074971;1,098536363;0,000702398;4,63611E-06;0,022300057;0,003616332;0,00053363;0,010702728;0,000762873;0,000448861;0,000719265;6,62098E-05;0,000968925;1,069377365;548,9912411;6,593832035
0,037669129;0,861534975;0,123611854;1,19577E-07;0,293426392;0,020507818;0,001652283;0,000296088;0,000231444;3,84328E-05;8,84824869;2,598073954;38,82619084;5,975898961;0,007814474;13,25875363;0,099044016;3,46237E-06;0,01092613;0,028783481;0,000666564;1,152944012;4,498030795;1,322100411;6,062541545;3,033003997;0,249730266;0,004815367;1,62893E-06;0,056251443;0,001816153;0,000751649;0,003040498;0,003731363;0,001628692;0,000155472;0,000443873;0,027012244;0,122774067;0,609848406;4,14212E-05;4,19515E-05;0,000479991;0,975368494;3,704023176;26,07706111;0,008012113;0,000227649;6,2226E-05;0,000127066;2,26075E-06;0,042623376;0,235775177;0,115612305;8,48121E-07;2,90408E-08;3,57726E-06;1,44709E-06;2,26075E-06;5,00237E-07;4,0882E-08;1,26039E-06;0,00347247;0,000486489;0,001494559;0,000131714;0,001333843;0,071471146;0,308410699;0,064083721;0,026449391;0,028185842;0,005536956;0,000341988;0,000542032;0,000379182;2,26075E-06;0,02382536;0,008508126;0,026070532;0,000666006;0,000865501;6,17647E-05;0,000463817;2,26075E-06;0,000852534;0,000387377;0,000966236;6,36051E-05;0,000553094;0,000221914;0,000498522;0,171780963;0,868061199;0,306027639;0,000672263;5,73324E-06;0,003488764;0,01209795;0,00782051;0,000229173;0,000622113;0,002316389;0,001190119;0,000714334;0,000779143;0,001038303;0,000960816;0,00065175;0,00161358;0,000950832;0,000260502;0,001237614;0,000762635;0,694192223;0,011431623;0,002160672;0,118952777;0,208353338;6,793259847;7,828350479;0,174010541;15,28545971;0,128402719;3,77575E-06;0,067202273;0,024880355;4,10844E-06;0,151702824;538,9006014;57,58738098;29,47461252;0,168314756;1,075088166;0,035136593;9,7715E-07;0,023078402;0,041693191;0,001190893;0,011037673;0,002665463;3,01571E-05;0,000340742;2,36518E-05;0,00038091;1,067036536;549,3744037;6,584965542
0,053135406;0,831474996;0,140163413;5,00473E-06;0,280250849;0,014759829;0,000499883;0,00923785;0,000247863;5,16074E-05;8,851680415;2,605093954;38,83274772;5,959595598;0,019653781;13,2819318;0,096743439;1,14104E-06;0,00530507;0,039923107;0,000335573;1,175343976;4,507557506;1,352765259;6,06525847;2,912474769;0,255254171;0,006088398;1,08506E-06;0,053033653;0,002246357;0,000379727;0,001583297;0,000311442;0,000487654;0,000166077;0,000481404;0,02744476;0,125612305;0,628954261;0,000398634;4,58085E-05;0,000344145;0,975483687;3,701508076;26,07922995;0,012669469;1,76862E-05;7,46014E-05;0,001599568;3,03573E-06;0,047462022;0,236333696;0,116334215;6,76385E-07;3,97772E-07;4,41466E-06;1,27908E-08;3,03573E-06;7,73567E-07;1,60532E-07;3,79904E-07;0,003874737;0,000626655;0,001589156;6,29486E-05;0,001791081;0,109281391;0,205868551;0,062300349;0,025343556;0,021265014;0,000119059;0,000139122;0,000580415;9,73081E-05;3,03573E-06;0,022637276;0,00489129;0,025953154;0,000372697;0,000723561;6,81851E-05;0,000179825;3,03573E-06;0,000665381;0,000564693;0,001129033;0,000929246;8,58093E-05;0,000233411;0,000279802;0,178707313;0,871327043;0,309438382;0,000389226;5,73764E-06;0,002353429;0,011798086;0,007903051;0,000126558;0,000914271;0,002264548;0,001120885;0,000149944;0,000567476;0,002206969;0,000813139;0,000462383;0,002229352;0,000768818;0,000328419;0,001699261;0,001008051;0,693105348;0,011620389;0,001901793;0,119380915;0,206998855;6,794022783;7,827030083;0,169667977;15,28539823;0,125300115;1,31912E-06;0,029500988;0,011434237;0,001227955;0,145898881;538,8980888;57,57894439;29,4572939;0,166482078;1,07760754;0,034578538;1,30139E-06;0,017304307;0,030763907;0,001263271;0,007671986;0,00510145;0,000714081;0,000869461;0,00018543;0,000901098;1,052902359;549,2229698;6,585110197
0,080377347;0,819840211;0,129945197;3,22434E-06;0,26265602;0,019806612;0,00037072;0,005807017;0,00035811;3,62571E-05;8,847443562;2,582888615;38,83698718;5,985630503;0,00931574;13,26728743;0,113655508;1,27269E-06;0,089129653;0,027180795;4,45382E-05;1,129247443;4,520057697;1,345726711;6,046987115;2,911255997;0,255621946;0,005636449;2,14773E-07;0,052696027;0,001816429;0,00131015;0,001599881;0,019364522;0,000400363;0,000361632;0,000143527;0,006765787;0,152401971;0,630292875;2,28035E-05;6,73711E-05;0,000267866;0,951819274;3,707675314;26,0861777;8,48127E-05;0,000368252;9,19039E-05;6,01985E-05;2,13277E-06;0,064612941;0,241721203;0,121906852;6,1757E-07;8,41593E-08;5,64262E-06;2,34924E-07;2,13277E-06;7,65452E-07;2,18174E-08;1,91694E-07;0,000229928;0,000133529;0,002301157;0,00070933;0,001258335;0,099665161;0,287644167;0,068494618;0,022605734;0,015162817;0,001590728;0,000619266;0,00083784;0,000320588;2,13277E-06;0,013275973;0,008351793;0,025355345;0,000237482;0,000148117;0,000108349;0,000394707;2,13277E-06;0,000708596;0,000941449;0,000984503;0,000557726;0,001147958;0,000758271;0,000363085;0,158877212;0,842749884;0,318868708;8,4883E-05;5,43993E-06;0,003959625;0,011902584;0,007891202;4,59123E-05;0,001035873;0,001930708;0,000807781;9,11E-05;0,000694494;0,002699057;0,001919753;0,000682502;0,002096748;0,000725084;0,000155062;0,001118104;0,000859606;0,691717371;0,009783769;0,000298728;0,09946424;0,214263388;6,80219633;7,817723825;0,190094296;15,30923208;0,145276501;3,55168E-07;0,049071151;0,010571969;3,78345E-05;0,166332787;538,9280731;57,57215058;29,4598899;0,15690702;1,071442929;0,024550872;4,62404E-06;0,006883375;0,028447683;0,001762093;0,005172899;0,002335644;0,001485251;0,000119001;0,000712599;0,000466563;1,034962469;549,4683572;6,584739902
0,126437724;0,841245804;0,119008205;6,72031E-07;0,230986503;0,029839676;0,00147392;0,016692841;0,000429678;4,04782E-05;8,832073085;2,584217771;38,82071122;5,969585538;0,001694643;13,25640087;0,157875198;8,07826E-07;0,034718877;0,027428716;0,001033277;1,088460562;4,535405194;1,331029913;6,02700318;3,007870654;0,26141589;0,008624639;5,64862E-06;0,016374519;0,001112602;0,000182494;0,012935194;0,009526542;0,000211968;0,000678746;0,000256713;0,029010193;0,138136408;0,660663289;0,000193192;8,94407E-05;0,000626072;0,969263293;3,702777734;26,07718737;0,002196165;3,8637E-05;0,000115274;0,000105397;2,38107E-06;0,086545199;0,238751492;0,118646868;1,88386E-07;7,30888E-08;6,55976E-06;2,48108E-07;2,38107E-06;1,26031E-07;1,62736E-07;1,50351E-07;0,004184981;0,000164141;0,002750443;0,000811308;0,00140483;0,042338832;0,217716855;0,068789856;0,022735992;0,02170331;0,003698913;0,000141083;0,001012434;0,000204632;2,38107E-06;0,022500677;0,003579529;0,025720013;0,000546785;0,000521963;0,000116872;0,000225073;2,38107E-06;0,001066111;0,000719671;0,001018511;0,000210687;0,000743249;7,50649E-05;0,00071658;0,16947781;0,831438059;0,307875443;0,00051408;9,27764E-06;0,004148565;0,011135936;0,005720812;0,000324589;0,00057831;0,001668553;0,001024111;0,000770292;0,001150415;0,002733803;0,001817105;0,000465221;0,00208651;0,001037204;0,00033959;0,001263743;0,000777736;0,686231975;0,007290909;0,001499598;0,118478529;0,210418555;6,796720192;7,820639758;0,167885562;15,29198828;0,126081104;1,98786E-06;0,006708016;0,003327317;0,001090442;0,155460234;538,9058949;57,57274311;29,46892189;0,156884941;1,076350268;0,027521359;7,73193E-07;0,049373332;0,038091055;0,000437234;0,015284752;0,001375097;0,001599741;0,000519641;0,000189546;0,000209656;1,038626047;549,2978272;6,585464568
0,106273173;0,910233099;0,123880202;1,09485E-06;0,244952761;0,016506538;0,001200288;0,002315849;0,000329205;4,2564E-05;8,825872093;2,613993523;38,80322371;5,923204238;0,064583503;13,23504618;0,181123779;7,58668E-07;0,036882535;0,020846797;0,000213429;1,073177757;4,537973562;1,383646033;6,030584775;2,942940629;0,261343858;0,008497667;3,41408E-06;0,045232221;0,000589909;0,002002606;0,019808543;0,00155651;0,000288805;0,000506478;0,000303584;0,019165302;0,160733267;0,653625122;0,00158505;6,60765E-05;0,000114286;0,961293546;3,720109734;26,09834281;0,001415276;0,000130307;8,74773E-05;0,00025866;2,50376E-06;0,077567491;0,253325885;0,132998541;7,88175E-07;2,85712E-07;5,36593E-06;2,17943E-07;2,50376E-06;9,96816E-08;6,4969E-07;1,83906E-08;0,012242239;5,78824E-05;0,002114345;0,000202303;0,001477219;0,056003379;0,299736714;0,064769058;0,015796481;0,024554337;0,00376134;0,000131718;0,000774935;0,000510007;2,50376E-06;0,009389335;0,013992223;0,017307677;0,000636155;0,000487793;8,84335E-05;0,000610465;2,50376E-06;0,000938334;0,000405919;0,001157247;0,000134133;0,000354216;6,84025E-05;0,000622373;0,151546891;0,838978236;0,315450609;0,000575482;7,0927E-06;0,005219718;0,011769463;0,005194168;0,000646108;0,000365906;0,001835262;0,000771296;0,000191096;0,000862207;0,002834295;0,001081482;0,00049958;0,002044192;0,000950409;0,000358819;0,001351236;0,000793708;0,681580869;0,002497986;0,000188075;0,101957075;0,220425527;6,806501193;7,813150725;0,178784829;15,3000898;0,136841362;3,48734E-07;0,046095906;0,016651039;0,000103232;0,173211394;538,9312215;57,57202833;29,50701974;0,142434914;1,059002083;0,012945143;4,31295E-06;0,063439718;0,031438197;0,000807294;0,014086982;0,003153614;0,000227116;0,000635455;0,000589051;0,00035159;1,038913249;549,4001922;6,58960818
