species;column
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Pandalus;Pandalus
Mysidae;Mysidae
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Beroe;Beroe
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pandalus;Pandalus
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Palaemon ;Palaemon 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Palaemon ;Palaemon 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Pandalus;Pandalus
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Beroe;Beroe
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Pandalus;Pandalus
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Palaemon ;Palaemon 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Pandalus;Pandalus
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
Bivalvia larvae;Bivalvia 
Obelia;Obelia
Ctenophora;Ctenophora
Cnidaria indet.;Cnidaria indet.
Spionidae larvae;Spionidae
Bipinnaria larvae;Bipinnaria 
Echinopluteus larvae;Echinopluteus 
Scoloplos larvae;Scoloplos 
Nereis larvae;Nereis
Gastropoda larvae;Gastropoda
Crepidula larvae;Crepidula 
Cypris larvae;Cypris 
Carcinus Zoea larvae;Carcinus Zoea 
Carcinus Megalopa larvae;Carcinus Megalopa 
Pagurus larvae;Pagurus
Lanice larvae;Lanice 
Magelona larvae;Magelona 
Appendicularia;Appendicularia
Fritillaria;Fritillaria
Podon;Podon
Evadne;Evadne
Chaetognatha;Chaetognatha
Actiniaria larvae;Actiniaria 
